id,name,description,short_description,price,category,image_url,stock_status,sku
1,Honeycomb Ice Cream,"Rich and creamy vanilla ice cream studded with crunchy honeycomb toffee pieces. Made with fresh cream and pure honey from local apiaries.",Creamy vanilla with crunchy honeycomb toffee,12.00,Pints,https://images.unsplash.com/photo-1497034825429-c343d7c6a68f?w=400,instock,VL-HC-001
2,Sicilian Pistachio,"Authentic pistachio ice cream made with pistachios imported directly from Sicily. Naturally green with an intense nutty flavor.",Authentic Sicilian pistachios in creamy gelato,14.00,Pints,https://images.unsplash.com/photo-1560008581-09826d1de69e?w=400,instock,VL-SP-002
3,Vegan Chocolate Chip Cookie Dough,"Dairy-free chocolate chip cookie dough ice cream made with oat milk. Chunks of edible cookie dough in every bite.",Dairy-free with chunks of cookie dough,12.00,Vegan,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=400,instock,VL-VCD-003
4,Earl Grey Tea,"Delicate Earl Grey tea-infused ice cream with hints of bergamot. A sophisticated flavor for tea lovers.",Earl Grey tea-infused creamy delight,12.00,Pints,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?w=400,instock,VL-EG-004
5,Strawberry Shortcake,"Fresh strawberry ice cream with pieces of buttery shortcake cookies throughout. Summer in every spoonful.",Fresh strawberries with shortcake pieces,12.00,Pints,https://images.unsplash.com/photo-1488900128323-21503983a07e?w=400,instock,VL-SS-005
6,Vegan Mint Chip,"Refreshing mint ice cream made with coconut cream and dark chocolate chips. Cool and refreshing.",Refreshing mint with dark chocolate chips,12.00,Vegan,https://images.unsplash.com/photo-1505394033641-40c6ad1178d7?w=400,instock,VL-VMC-006
7,Salted Caramel,"Buttery caramel ice cream with swirls of sea salt caramel sauce. The perfect balance of sweet and salty.",Sweet and salty caramel perfection,12.00,Pints,https://images.unsplash.com/photo-1590080875515-8a3a8dc5735e?w=400,instock,VL-SC-007
8,Mango Sorbet,"Refreshing dairy-free mango sorbet made with ripe Alphonso mangoes. Light and tropical.",Light and tropical Alphonso mango,10.00,Sorbet,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?w=400,instock,VL-MS-008
9,Oat Milk Brown Sugar Chunk,"Oat milk ice cream with brown sugar swirls and chocolate chunks. Rich and indulgent without dairy.",Oat milk with brown sugar and chocolate,13.00,Vegan,https://images.unsplash.com/photo-1563805042-7684c019e1cb?w=400,instock,VL-OBS-009
10,Marionberry Cheesecake,"Oregon marionberry ice cream with chunks of real cheesecake. A Pacific Northwest favorite.",Marionberries with real cheesecake chunks,13.00,Pints,https://images.unsplash.com/photo-1488900128323-21503983a07e?w=400,instock,VL-MC-010
11,Vegan Peanut Butter Brownie,"Peanut butter ice cream made with cashew milk and loaded with fudgy brownie pieces.",Peanut butter with fudgy brownie pieces,13.00,Vegan,https://images.unsplash.com/photo-1560008581-09826d1de69e?w=400,instock,VL-VPB-011
12,Passion Fruit Sorbet,"Tangy and tropical passion fruit sorbet. Dairy-free and bursting with exotic flavor.",Tangy tropical passion fruit,10.00,Sorbet,https://images.unsplash.com/photo-1501443762994-82bd5dace89a?w=400,instock,VL-PFS-012
